SMILES,NLL
COC(=O)c1ccccc1Sc1cccc(NC(C)=O)c1C#N,26.88
CCC1CC(C(=O)NCCc2ccc(F)c(Cl)c2)CN(CCc2ccccc2Cl)C1,34.61
Cc1csc(SCC(=O)N2CCc3ccccc32)n1,20.2
Cc1ccc(C)c(NC(=O)COC(=O)c2cccnc2)c1,21.28
CCn1cc(CCc2nc(=Nc3nc(C)nc4c(C)nc(C)nc34)[nH][nH]2)c(C)n1,38.12
CCN1C(=O)C(C(=O)C(=O)Nc2c(OC)cccc2OC)C(=O)C(C(=S)NC)(c2ccccc2)c2ccccc21,43.71
Cc1ccc(-c2noc(CCC(=O)Nc3ccc(C(=O)O)cc3)n2)cc1,21.38
COc1cc(O)c2c(=O)cc(-c3ccc(SC)cc3)oc2c1OC,25.42
COCCN=c1[nH]c(Cl)nc2c1cnn2C,21.54
FC(F)(F)c1cccc(CN=c2[nH]c3ccccc3n2C2CCCCC2)c1,27.2
Fc1cc(-c2ccccc2Oc2ccccc2)ccc1C(F)(F)F,25.31
NC(=O)c1cc(=NCc2ccccc2)[nH]c(=Nc2ccccc2Cl)[nH]1,26.79
COc1ccccc1CN1CNS(=O)(=O)c2cc(C#CC3(O)CCCCC3)ccc21,31.98
CN(Cc1nc(C(C)(C)O)co1)CC1CC1,27.74
CCOc1cccc2cc(C(CCCCNC(=O)OC(C)(C)C)C(=O)NCCOC)c(=O)oc12,45.67
COC(=O)C(C)NC(=O)OCc1ccccc1,16.85
O=C(O)c1cccc(NC(=O)c2ccccc2[N+](=O)[O-])c1,20.77
Cc1ccc(CNCCc2c(C)[nH]c3ccccc23)s1,24.55
O=S(=O)(c1cccc2csnc12)N1CCCCC1,20.15
CCCCCC(c1cc(OC)c(OC)c(C(=O)OC)c1)c1c(Br)ccc2c(OC)cccc12,41.31
O=C(c1c[nH]c2ccccc12)n1cc(Cl)ccc1=O,23.64
CC(=O)c1c(C)[nH]c(C(=O)NCc2ccc(C)cc2)c1C,19.52
O=C(Nc1ccccc1)c1nc(-c2cc(O)cc(O)c2)c2cccc(C(=O)O)c2c1O,40.74
O=C(NCc1ccc(OC(F)(F)F)cc1)C(=O)N1Cc2ccc(S(=O)(=O)NCCc3nc4cc(Cl)ccc4s3)cc2C1,45.11
COc1cc(CC(C#N)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,21.24
CC(C)(C)c1cccc(OC(=O)CCc2c[nH]cn2)c1,28.45
C=C=CCCC(Cc1c[nH]c2ccccc12)NS(=O)(=O)NS(=O)(=O)NCC1CC2CCC1C2,49.45
CC(=O)Nc1ccc(NC(=S)N2CCC(c3ccncc3)CC2)cc1,26.02
COc1ccccc1C(=O)Oc1cc2oc3cc(OC(C)=O)c(CC=C(C)C)c(O)c3c(=O)c2c(O)c1CC=C(C)C,34.89
CCCc1cc(O)cc(O)c1C(=O)c1c(O)cc2c(c1O)CC(OC(=O)c1cc(O)c(O)c(O)c1)C(c1ccc(O)c(O)c1)O2,36.64
Cc1cccc(NS(=O)(=O)c2ccccc2)c1,18.4
CN=C1CC(=O)c2c1c(=O)n(C)c1ccccc21,25.92
CC(C)Oc1c(C(=O)NCCN(C)C)ccc2ccc(Cl)cc12,27.23
CC1(C)CC(Cc2ccco2)C(=O)N1O,25.48
CC1CCC2(Oc3cc(C(=O)NCc4cccc(Cl)c4)ccc3OCC2CO)O1,34.51
O=C(NC(=O)c1cccc(Br)c1)NC1CCN(Cc2ccccc2)CC1,26.54
COc1ccc(C=CC(=O)Nc2ccc(S(=O)(=O)N=C(N)N)cc2)cc1,21.56
COc1ccc(-c2ccc3c(n2)CCCC3N(C)c2cc(C)ccc2C)cc1,28.62
Cc1ccc(C(Sc2ccccc2)c2ccccc2)cc1,21.16
CCOC(=O)c1ccccc1NCC(c1ccccc1)c1ccccc1,22.58
O=C(N=c1[nH]c([N+](=O)[O-])cs1)c1ccccc1O,24.08
COc1cc(N2CCC3(CCCN(CC4CCC4)C3)C2)ncn1,24.29
CC1CCCCN1c1ccc(-n2cnn(C(C(=O)NC3CCCCC3)c3ccccc3)c2=O)cc1,31.5
CC(CC(=O)c1cc(OCCCCCCCC#N)c2ccccc2c1)C(=O)O,44.52
O=C(Nc1cccc(C(F)(F)F)c1)c1cccc(Br)c1,19.04
O=CNc1cccc2cccnc12,21.73
COc1ccc2cc(-c3ccc(N(C)C)cc3)ccc2c1,19.68
N=c1nc[nH]c(-n2c(CCc3ccccc3)nc3ccc(-c4nnc(-c5ccccc5)o4)cc32)n1,37.25
CN(C)CS(=O)(=O)N1CCC(O)(c2cccc(-c3cnc4[nH]ccc4c3)c2)CC1,39.23
C=Cc1ccc(NC(=O)CN2CCc3ccc(F)cc32)cc1,32.41
CCn1c(=C=Cc2ccc([N+](=O)[O-])c(O)c2)sc(=Cc2ccccc2Cl)c1=O,36.63
O=C(NCc1ccc2c(c1)CCN2C(=O)c1ccccc1)c1ccccc1,19.96
Nc1ccccc1-c1cc(C(=O)c2ccccc2OC(F)(F)F)cc(C(F)(F)F)c1,36.78
Cc1ccc(C(O)(c2ccc(Cl)cc2)C2CC(C#CC3CC3)(C(F)(F)F)NC2=O)cc1,33.42
O=C(c1ccc(F)cc1)N1CCN(C(=O)c2cnccn2)CC1,23.46
CCOc1ccc(C=CC(=O)O)cc1,17.19
CCOc1nc(-c2ccccc2)cc(-c2ccccc2)c1C#N,17.41
N#CC(C(=O)Nc1ccc(F)cc1)C(C=NC(=O)c1ccccc1)=NNC(N)=S,36.18
NC(CCCOC(=O)Cc1ccccc1)c1ccc(O)cc1,31.46
COc1ccc(C(=O)NCC(=O)Nc2ccccc2-c2ccccc2N)cc1OC,28.31
Cc1cc(=O)nc(C2CCN(Cc3cccc4c3OCO4)CC2)[nH]1,27.5
Cc1ccccc1OC(=O)NC(C)c1cccc(OC(C)C)c1,30.16
Cc1ccc(S(=O)(=O)N2CCN(c3cccc(Cl)c3)CC2)cc1,19.4
Cc1ccc(C#CC(C)(C)O)cc1C#Cc1cccnc1,28.89
Cc1nnc(SCC(=O)c2ccccc2)c2cc3occc3n12,22.09
COC(=O)c1c(C)[nH]c(C)c1C(=O)c1sc(C)[n+]([O-])c1C,32.08
CCC1C(Cc2ccc(OC)cc2)CC2CCC1[N+]2(C)C,27.54
Oc1ccccc1-c1n[nH]c(=S)[nH]1,18.08
CC1=NC(C)(C)Cc2cn[nH]c2C1=O,23.01
Cc1nn(C)c(C)c1S(=O)(=O)N1CCC(C(=O)Nc2ccccc2)CC1,21.82
COc1cccc(F)c1Cn1cnc2c1N=CNCC2O,22.54
Fc1ccc(C(c2ccc(F)cc2)c2ccc3c(C=Cc4ccccn4)[nH]nc3c2)cc1,25.37
CCCCNc1ccccc1C(=O)O,17.42
CS(=O)(=O)c1ccc(-c2nnc(SCC(=O)Nc3ccccc3Br)o2)cc1,27.56
Cc1cc(C)c2nc(-c3ccccc3)cn2c1,22.15
Cc1cn(CCCCC(=O)NC(c2ccc(Cl)cc2)C(C)C)c(=O)[nH]c1=O,32.18
CN(C)Cc1ccc(S(=O)(=O)N(CCCCNC(=O)OC(C)(C)C)Cc2ccc3ccccc3c2)cc1,33.55
O=C(N=c1ccc(C(F)(F)F)c[nH]1)c1ccccc1O,21.49
COc1cc(NC(=O)CN2CCC(C(N)=O)CC2)ccc1N,28.02
CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C3CC(O)C2C(=O)C=Cc2ccccc2F)C1,34.3
O=C(Nc1ccc([N+](=O)[O-])nc1)c1cc2ccccc2s1,27.46
Cc1[nH]ccc(=O)c1O,16.58
CC1CN(C2COC2)CCC1N=c1cnc2ccc(C#CCNC(=O)c3ccc(Cl)[nH]3)cc2[nH]1,35.94
CCn1nnc(C2OC(n3cnc4c(=N)[nH]cnc43)C(O)C2O)n1,19.22
CCOC(=O)C1C(C)=NC(=S)NC1c1ccc(S(N)(=O)=O)cc1,22.64
CC(C)c1ccc(-c2nc(C(=O)O)cn2-c2ccc(F)cc2)cc1,25.45
Cc1ccc(C(=O)Nc2ccc(OCc3cc(=O)c4ccccc4o3)cc2)cc1,26.49
COCCN1CCN(c2cccc(C)c2)CC1,21.18
O=C(Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)cc1)Nc1ccnc(C(F)(F)F)c1,27.17
CC(C)=CCCC(C)=CCNCCN(C)C,19.44
CC1CCCCC1NC(=O)c1ccc(Br)o1,19.4
CCON=CNc1ccc(C(C)(C)C)cc1,18.91
CC(C)(O)c1n[nH]c(=O)n1-c1ccc(Cl)c(Cl)c1,24.6
COc1cccc(-c2csc(=N)[nH]2)c1,17.68
Cc1ccccc1NC(=O)COC(=O)C1CC1,19.21
Brc1cccnc1-c1ccncn1,25.94
Cc1cc(-c2ccc(NC(=O)C=Cc3cccc(C(F)(F)F)c3)cc2)ccn1,25.62
