SMILES,NLL
Cc1ccc(NC(=O)C(CC(C)C)NC(=O)NCCCN2CCOCC2)cc1,27.24
CC(C)Cc1ccc(CCCn2ccnc2)cc1,22.34
C=C1CC(C(C)C2CCC3C4CCC5C(=O)CCC(=O)C5(C)C4CCC23C)OC1=O,32.77
C=CCN(CC=C)C(=O)Nc1ccccc1SC,22.77
Nc1ccc(S(=O)(=O)c2ccc(F)cc2)c(CO)c1,26.54
COc1cc(-c2ccccc2)c(OCc2ccccc2)cc1OCc1c[nH]cn1,31.57
CC1(C)CC(=O)C2C(=Nc3c(c(=O)oc4ccccc34)C2c2cccnc2)C1,24.76
N=c1cc(N)[nH]c(SCc2ccccc2)n1,15.85
NCc1ccc(C(=O)NCc2cccs2)cc1,22.34
COc1c(Cl)cc(Cl)cc1C(=O)Nc1ccc(Oc2ccc(NC3CN4CCC3CC4)cc2)cc1,31.98
COC(=O)CCCCN1C(=O)C(COC(=O)C(C)(C)C)N=C(c2ccccc2)c2ccccc21,24.69
CCC(C)c1ccc(-c2cc(-c3ccc4nc(OC5CCNC5)ccc4c3)n[nH]2)c(C)c1,52.48
CCCCCCN(CCCCC)CCNC(=O)C(=O)C(C)(C)NCC(O)COc1ccccc1,41.66
CSc1cc(O)c(CN(C)Cc2ccccc2)c(-c2ccco2)c1,37.04
Cc1cccc(N2CCOC3c4c(c(O)n(Cc5ccccc5)c4O)C(c4ccccc4)C3C2)c1,37.55
FC(F)(F)CNCc1nnc2n1C(C(F)(F)F)CCC2,25.04
CCS(=O)(=O)c1ccc2[nH]c(=NC(=O)c3ccccn3)sc2c1,26.24
C(=Cc1[nH]nc2cc(-c3ccccc3)ccc12)c1ccccc1,18.88
COc1ccc(C(O)(c2ccc(OC)cc2)c2ccc3[nH]cc(C=Cc4ccc(N(C)C)cc4)c3c2)cc1,31.3
CC12CCc3cnn(-c4cccc(N)c4)c3C=C1CCC1C2CCC2(C)C1CCC1(C)C(O)CCC12,33.33
CN1C(=N)SC(=CC=Cc2ccccc2Br)C1=O,27.56
CC1=NC(=S)NC(c2ccncc2)C1C(=O)OC(C)C,21.27
COc1ccc(CCNC(=O)CCn2c(=O)[nH]c3ccsc3c2=O)cc1,23.23
Cc1ccc(C(=O)N2C(=O)N(C)C(=O)C2(c2ccccc2)c2ccccc2O)cc1,28.57
CCCC(=O)OCn1c(C=C(C)[N+](=O)[O-])[n+](C)c2ccccc21,31.4
O=c1cc(NCCCCCCN2CCOCC2)c2ccccc2o1,23.97
COc1ccc(-c2csc(CCO)c2)cc1,22.99
COCCN1C(=O)C(c2ccc(OC)cc2)(c2ccc(OC)cc2)N=C1N,20.8
O=c1ccn(C2OC(CO)CC2OC(CO)CO)c(=O)[nH]1,25.39
O=C(Nc1ccccc1)N1N=C(c2ccccc2)CC1c1ccccc1,19.33
COc1cc(C)cc2[nH]c3c(c12)CN(Cc1ccco1)CC3,33.39
O=C(Nc1cccc2cnccc12)c1ccc(Cl)cc1Cl,24.3
OC1CC2(CCN(CCc3ccccc3)CC2)Oc2ccccc21,22.39
O=S(=O)(NCCCN=c1cccc[nH]1)c1cccc2[nH]ccc12,31.21
CCOC(=O)Nc1sc(=S)n(C)c1-c1ccccc1O,28.77
C=CCOC(=O)c1c(C)n(CCCCC)c2ccccc12,26.07
O=C1N=C(N=c2[nH]cc(-c3ccccc3)s2)SC1=Cc1cccc(Cl)c1,25.78
OCC1(Cc2ccc(Cl)cc2)COC(O)(c2ccc(Cl)cc2)CO1,29.88
C=CCOc1ccc(C=O)cc1OC,17.71
CCOC(=O)C1C(=O)C(=Cc2ccccc2OC(F)F)CCC1c1ccco1,30.11
OCCc1cn(-c2ccc(C#Cc3ccccc3)cc2)nn1,25.55
O=C(Cc1ccccc1[N+](=O)[O-])NC1CCc2ccccc21,23.17
CC(CC(O)C(Cc1ccccc1)NS(C)(=O)=O)C(=O)NC(C(=O)NCc1ccccc1)C(C)C,27.7
CCCNC(=O)c1ccccc1SCC(=O)Nc1ccccc1F,26.75
C#CCN(C)C(C)Cc1ccc(OCCN2CCOCC2)c(OC)c1,22.2
NC(=O)OCc1ccccc1,15.45
CCCCC(=NC)C(=O)O,24.48
CCOc1cccc(NS(=O)(=O)c2cccc(C(=O)N3CC(C)CC(C)C3)c2)c1,28.79
CCCc1cc(=O)[nH]c(SCC(=O)Nc2ccccc2OCC)n1,21.55
COc1ccc2[nH]cc(Cn3cncn3)c2c1,23.46
CC(C)N1C(=O)CCNC1=O,21.36
CCOC(=O)C(=Cc1ccc(-c2ccccc2)cc1)[N+](=O)[O-],26.25
CN(C(=O)COC(=O)COc1ccccc1Cl)N1CCCC1=O,32.97
COc1cc(CNC(=O)c2ccccc2)ccc1O,18.27
OCc1c(Cl)ncn1-c1ccccc1,17.23
CCOC(=O)CCCC[S+]([O-])c1ccccc1,22.74
COc1ccc(NC(=O)CN(C)CC(=O)N=c2[nH]ccs2)cc1Cl,27.54
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(CN(C)C)ccc3nc2-1,23.94
N#Cc1cccc(C(=O)Nc2ccc(OC(F)(F)F)cc2)c1,21.71
CC(Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc2ccccc2c1,24.95
Cc1cc(C(=O)Cn2cc(Oc3ccccc3)c(=O)cc2COc2ccccc2)ccc1[N+](=O)[O-],34.92
CCOC(=O)c1cn(CC)c2cc(=O)c(C(=O)NC3CCCCC3O)cn2c1=O,30.76
Cc1ccnc(-c2nc(=Nc3cccc(N)c3)cc(C(F)(F)F)[nH]2)c1,34.04
O=C(Oc1ccccc1)N1CCN(C(c2ccc(Cl)cc2)c2ccc(Cl)cc2)CC1,22.04
CC(C)C=C1CC(=O)c2ccccc2C1=O,22.67
CC1Cc2c(O)cccc2C(=O)O1,18.17
CCCC(C)C(=O)c1nc2ccccc2n1C,23.63
CC1(C)C2CC=C(C=NO)CC21,22.73
CC(C)C(=O)N(C)C1c2ccccc2OC(C)(C)C1O,24.82
CCCCCCCCCCCCCCCCOCC(F)(F)F,20.95
CC(=O)Nc1cccc(CC(=O)O)c1,20.61
CCOC(=O)NCCC1CCN(C(=O)C(Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,29.01
CNC(=O)c1c(-c2ccccc2)oc2ccc(O)cc12,18.87
Cc1nn(-c2ccccc2)c2c1C13CC1CN(C(=O)c1ccc(C(F)(F)F)cc1)C3=CC2=O,30.69
CCOC(=O)C1=C(C)N=C(c2ccccc2)CC1c1ccc(Cl)cc1,18.98
O=C(CCCCCCCCCO)NC12CC3CC(CC(C3)C1)C2,25.68
COc1ccc(C(=O)C(=O)N2CCN(c3nc(C)nc4sc5c(c34)CCCCC5)CC2)cc1OC,34.8
O=c1c2cnc(N3CCOCC3)nc2n(C2CC2)c(=O)n1-c1ccccc1,24.44
CCOC(=O)C(NC(=O)COc1ccccc1)C(C)C,20.97
O=C1C(=Cc2ccc(O)c(O)c2)Cc2ccccc21,19.65
COc1cc(OC)cc(-n2c(=O)c(-c3nn[nH]n3)cc3ccc(C)cc32)c1,33.23
COc1cc(OC)cc(C(=O)Nc2ccc(OCc3cc(=O)n4cc(C)sc4n3)cc2)c1,21.29
O=C1c2ccccc2C(=O)N1Cc1ccccc1,14.19
Nc1ccc(-c2nnc(-c3cccs3)o2)nc1,26.5
Cc1nn2cc(Cc3ccccc3)sc2c1C(=O)CCCN(C)CC(=O)O,44.08
Cc1ccc(NN=Cc2ccccc2OCc2ccccc2)cc1,22.64
Cc1nccc(CC(=O)N2CCOCC2CN(C)C)n1,29.1
Cc1oc2ncn(CC(C)C)c(=O)c2c1C(=O)NC1CCCC(C)C1C,24.32
CCCCCCCCCCCCCCOCC1OC(O)C(O)C(O)C1O,19.66
c1ccc(-c2cc(-c3ccccc3)c3c(n2)-c2ccccc2OC3)cc1,16.89
COc1cccc(CNc2ccc(O)c(C(=O)OCCOc3cc(Cl)ccc3C(C)=O)c2)c1O,38.41
COc1cc(Br)cc(CN2CCOCC2)c1,20.95
O=C(CCCCCCCCCCCc1ccc(O)cc1)OCCc1ccccc1,27.46
CC(C)(C)OC(=O)N1CCC(C(=O)Nc2cccc(CN3C(=O)CC(c4cccc(F)c4F)NC4(CCC(O)CC4)C3=O)c2)CC1,53.0
CCCc1nc2cc(N3C(=O)c4ccccc4C3=O)ccc2n1C(C)C,27.19
CC(C)Oc1cc(C=C(C#N)c2ccccc2Cl)ccc1OCCCCl,37.92
COc1cc2c(s1)CC1C3N(CCc4ccccc4)CCC23CCN1C,30.78
Cc1cc(-c2ccccc2)c(=NC2CCN(C(=O)CCO)CC2)[nH]n1,29.13
OCC(O)COc1ccc(Cl)cc1C#Cc1ccccc1,21.8
CCC1CN(C(=O)c2ccc(S(=O)(=O)c3ccc(Cl)cc3)cc2)CCO1,29.02
CC(C)=CC(=O)CC(C)C1CC2C(C)(CCC3C(C)(C)C(O)CCC32C)C1C,35.47
COc1ccccc1NS(=O)(=O)c1ccc(C(=O)NC2CCN(Cc3ccccc3)CC2)s1,29.93
CC(=O)NC(C(COCc1ccccc1)OCc1ccccc1)C(OCc1ccccc1)C(CO)OC(C)=O,38.1
CNC(=S)N=Nc1c(O)n(Cc2ccco2)c2ccccc12,22.74
Cc1ccc(C(=NO)c2ccccc2F)cc1,20.71
COC(=O)C(C)NC(=O)C(Cc1ccccc1)NC(=O)C(C)NC(=O)C(N)CCC(N)=O,33.69
NS(=O)(=O)c1ccc(N=c2nc(C3CC3)c(-c3ccccc3)c[nH]2)cc1,25.04
CCC(CCC(C)C1CCC2C3CCC4CC(C=O)CCC4(C)C3CCC12C)C(C)C,27.93
O=C(Oc1ccc(C=NO)cc1)c1cccnc1,20.78
N=c1c2c([nH]c3ccccc13)CCC2,18.92
CC(=O)NC(C)c1ccc(OC2CCN(c3ccnc(C(N)=O)n3)C2)cc1,26.26
COc1cc(OC)c2c(=N)c3ccccc3[nH]c2c1,23.11
COc1cc(CNC(=O)Nc2cccc(C(=O)Nc3ccccc3C)c2)cc(OC)n1,36.54
Cc1cc(C(CCOc2ccc(Cl)cc2)C(=O)N(C)CCN(C)C)ccc1F,41.49
CCN(C(=O)c1ccccc1Cl)c1cccc(C(F)(F)F)c1,26.09
CCN(CC=CC(N)CS)C(C)=O,28.13
O=c1nc(OCC2CCCO2)cc2n1CCc1cc(Cl)ccc1-2,20.13
O=C(C[n+]1ccccc1)c1cccs1,17.24
CCOC(=O)Cc1cc(N(C(=O)c2ccccc2)N(Cc2ccccc2[N+](=O)[O-])C(C)=O)n(CCc2ccccc2)c1O,48.55
CCCC(CC)SCCNC(C)=O,24.98
Cc1cc(C)c2oc(-c3ccc4ccccc4c3)cc(=O)c2c1,24.73
CCOC(=O)NS(=O)(=O)c1ccccc1-c1nc(-c2ccc(F)cc2)c(NC(=O)c2cccs2)o1,41.11
Fc1cccc2[nH]c(=NC3CCN(Cc4ccccc4)CC3)oc12,26.26
O=C(C1NCCN1)N(O)CC1CCCCN1,33.63
S=C1C(=Cc2ccccc2)CCN1c1ccccc1,18.86
Cc1nc(-c2ccc3ncsc3c2)cc(=NC(C)c2cccc(-c3ccc(F)c(C(N)C(F)F)c3)c2)[nH]1,40.08
CC(=O)CCC1C2CCC3C(=NC4=C(C(=O)CCC4)C3c3ccccc3)CC12C,37.06
COc1cccc2oc(=O)cc(C)c12,18.85
COc1ccc(-c2csc(=NN=Cc3ccc(O)c(OC)c3)[nH]2)cc1,18.99
O=C(NC1CCCc2ccccc21)c1cc(-c2ccccc2Cl)[nH]n1,26.62
COCCOCCOCCOCCO,17.74
Cn1c(C(=O)NC(CO)C(C)(C)C)nc2cc(Oc3ccc(C(F)(F)F)cn3)ccc21,30.68
N=c1[nH][nH]c2ccc(-c3noc(C4CCCCN4C(=O)COc4ccccc4)n3)cc12,25.31
O=c1cc(O)n(C2CCCCC2)c(=O)n1Cc1ccccc1,17.8
N#Cc1cc(C(O)=NO)sc1N1CCCC1,26.84
CN(Cc1ccccc1)C(=O)c1cc(N(C)C2CCC(O)CC2)cc(-c2ccccc2)n1,34.34
COCC(C)OC(=O)c1ccc(O)cc1OC,27.52
COc1ccc(CNC(=O)C2CCCN2C(=O)c2cccs2)cc1OC,23.24
C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(=O)O)CC1O,22.32
CCN1CCN(c2nc(=Nc3ccc(N=c4c5ccccc5[nH]c5ccccc45)cc3)[nH]c(=Nc3ccccc3)[nH]2)CC1,24.28
CCC(C)C(NC(=O)C(=O)NC(CCCN=C(N)N)C(=O)N(C)C)C(NC(CCCCN)C(=O)NCC(=O)O)C(C)CC,50.25
Cc1cccc(C(=O)NC2CCCCCC2)c1,18.31
CC(=O)Oc1cccc(-c2nc(-c3ccco3)cc(-c3cccs3)n2)c1,31.76
CCOc1ccccc1N1CCN(CCCc2ccc3[nH]c(=S)[nH]c3c2)CC1,23.79
